"","id","respdate","endtime","qA1","qA2","qA3a","qA3b","qA4","qA5","qA6","qA7","qA8","nq15","q66","q67_1","q67_2","q67_3","q67_4","q67_5","q67_6","q67_7","q67_8","q68","q69_1","q69_2","q69_3","q69_4","q69_5","q69_6","q69_7","q69_8","q70","q71_1","q71_2","q71_3","q71_4","q71_5","q71_6","q71_7","q71_8","q72","q73_1","q73_2","q73_3","q73_4","q73_5","q73_6","q73_7","q73_8","q74","q81_1","q81_2","q81_3","q81_4","q81_5","q81_6","q81_7","q81_8","q82","q84a_1","q84a_2","q84a_3","q84a_4","q84a_5","q84a_6","q84a_7","q84a_8","q84b","q75_1","q75_2","q75_3","q75_4","q75_5","q75_6","q75_7","q75_8","q76","q77_1","q77_2","q77_3","q77_4","q77_5","q77_6","q77_7","q77_8","q78","q83_1","q83_2","q83_3","q83_4","q83_5","q83_6","q83_7","q83_8","q84","q85","q86_1","q86_2","q86_3","q86_5","q86_6","q86_7","q86_8","q86_9","q86_10","q86_11","q87","q88","q89","q90","q91","q92","q92a","q92b","q92c","q92d","Impprobgb","qB1","qB2","qB3","qB4","qB5","qB6","qB7","qB8","qB9","qB10","qB11","qB12","qB13","qB14","qB15","qB16","qB17","qC1","qC2","qC3","qC4","qC5","qC6","qC7","qC8","qC9","qC10","qC11","qC12","qC13","qC14","qC15","qC16","qC17","qC18","qD1","qD2","qD3","qD4","qD5","qD6","qD7","qD8","qD8a","qD8b","qD8c","qD8d","qD9","qD9a","qD9b","qD9c","qD9d","qD10","qD11","qD12","qD13","qD14","profile_bpcage","profile_gender","profile_socialgrade_old","profile_newspaper_readership","W8","W8vote","filter_$"
"11",11,2010-05-07,2010-05-07 12:49:04,1,1,3,"__NA__",3,1,"__NA__",NA,"__NA__",3,2,1,2,2,2,2,2,2,2,"__NA__",2,2,1,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Deficit","repayment of the country's borrowing debt",2,"__NA__","The Tories",2,"__NA__",3,3,4,4,2,4,3,3,4,4,5,7,2,9,6,4,4,7,4,6,8,7,9,1,9,1,5,4,1,3,"__NA__",3,"__NA__",1,1,2,1,2,2,2,2,1,4,3,4,2,5,2,5,2,2,3,1,1,16,0.51529256434838,0.484292744416856,0
"12",12,2010-05-07,2010-05-07 12:49:14,1,1,1,"__NA__",1,5,"I am a lifelong labout voter and would never vote for any other party",NA,"__NA__",9,2,1,2,2,2,2,2,2,2,"__NA__",2,2,1,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,1,1,1,2,2,2,2,2,2,2,"__NA__",2,3,4,NA,NA,NA,NA,NA,NA,"Economy (General)","the economy",3,"__NA__","education",3,"__NA__",3,1,4,2,3,3,3,4,2,3,4,8,1,4,1,7,1,2,1,5,6,5,11,1,1,1,5,1,1,1,"__NA__",1,"__NA__",1,2,2,1,2,2,2,2,1,3,4,3,4,5,5,5,5,2,2,1,1,2,0.280805314326047,0.253820507880485,0
"13",13,2010-05-07,2010-05-07 12:49:25,2,1,4,"__NA__",1,1,"__NA__",NA,"__NA__",2,1,NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Economy (General)","Economy",5,"__NA__","Unemployment",3,"__NA__",3,3,4,1,3,2,2,4,4,5,3,1,4,7,11,1,7,8,9,12,12,12,1,1,6,11,1,1,1,4,"__NA__",3,"__NA__",4,2,1,1,1,1,2,2,1,3,1,3,1,2,1,1,1,1,1,1,2,5,2.84656792446735,2.88669507707492,0
"14",14,2010-05-07,2010-05-07 12:50:07,1,1,4,"__NA__",4,1,"__NA__",NA,"__NA__",3,2,2,2,2,1,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,2,1,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,1,1,1,1,2,2,2,2,2,2,"__NA__",5,2,2,NA,2,NA,NA,NA,NA,"Economy (General)","The economy",4,"__NA__","Health",7,"__NA__",4,2,3,2,4,1,3,1,5,4,2,1,8,7,10,1,10,10,9,6,9,6,1,8,10,11,1,1,1,4,"__NA__",3,"__NA__",3,2,3,1,1,1,2,2,1,4,2,4,2,2,3,3,3,2,3,1,1,6,0.271503323077354,0.287209399784137,0
"15",15,2010-05-07,2010-05-07 12:50:37,1,1,2,"__NA__",1,1,"__NA__",NA,"__NA__",2,2,1,1,2,1,2,2,2,2,"__NA__",2,1,2,2,1,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,1,2,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,1,1,2,2,2,2,2,2,2,2,"__NA__",5,1,NA,NA,NA,NA,NA,NA,NA,"Economy (General)","Economy",4,"__NA__","Economy",4,"__NA__",4,3,3,2,4,1,4,1,5,4,3,1,11,7,3,1,10,8,5,6,9,6,1,11,8,4,1,9,1,2,"__NA__",3,"__NA__",2,2,2,1,2,2,1,2,1,2,1,3,1,4,4,3,4,2,3,1,1,6,0.342162242614249,0.38488417982852,0
"16",16,2010-05-07,2010-05-07 12:50:56,1,1,2,"__NA__",4,4,"__NA__",7,"__NA__",9,2,1,1,2,2,2,2,2,2,"__NA__",2,1,1,2,2,2,2,2,"__NA__",2,1,1,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,1,1,1,1,1,2,2,2,2,2,"__NA__",3,3,2,NA,2,4,NA,NA,NA,"Deficit","Public sector debt",3,"__NA__","Public sector debt",3,"__NA__",3,3,4,3,4,3,4,3,4,3,3,7,5,7,6,6,4,6,6,12,12,12,8,11,11,11,5,9,8,4,"__NA__",1,"__NA__",3,4,2,1,2,1,1,2,1,3,2,3,2,4,3,4,5,2,2,1,1,10,0.431495087186324,0.375287763463034,1
"17",17,2010-05-07,2010-05-07 12:51:14,1,1,3,"__NA__",4,1,"__NA__",NA,"__NA__",3,1,NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,2,2,2,1,2,2,1,2,2,2,"__NA__",NA,NA,NA,NA,4,NA,NA,5,NA,"Deficit","finance",12,"__NA__","nationalism",12,"__NA__",3,1,5,3,3,3,3,5,3,4,6,6,3,8,3,3,3,8,4,4,4,12,11,1,11,1,1,1,1,9,"wouldn't vote",9,"wouldn't vote",1,1,2,1,2,2,2,2,1,4,4,4,4,4,5,5,6,2,2,1,2,16,0.393013352318033,0.743349583153246,0
"18",18,2010-05-07,2010-05-07 12:51:22,1,1,1,"__NA__",1,2,"__NA__",NA,"__NA__",1,2,1,1,1,1,2,1,1,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,1,1,1,1,2,2,2,2,2,2,"__NA__",2,3,2,NA,2,NA,NA,NA,NA,"Economy (General)","economy",3,"__NA__","economy",3,"__NA__",2,2,3,2,3,3,3,3,2,2,2,9,4,8,9,8,5,7,8,8,4,6,11,1,6,9,6,2,1,1,"__NA__",1,"__NA__",4,2,1,1,2,2,2,2,1,2,2,2,2,1,2,3,3,1,2,2,2,3,1.14068552162258,1.70522770182004,0
"19",19,2010-05-07,2010-05-07 12:51:43,1,1,4,"__NA__",4,5,"Despite wanting to vote Lib Dem (as a tactical vote) I could not bring myself to vote for Lembit Opik as he has never apologised for his expenses claims and other behaviour. I therefore chose to vote for the local candidate who I felt put forward the stro",NA,"__NA__",6,1,NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,2,2,2,2,2,2,2,2,2,1,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Economy (General)","Economy",3,"__NA__","Education",12,"__NA__",6,5,4,5,4,4,6,5,3,2,6,9,2,9,6,8,4,6,12,12,6,10,10,2,10,10,10,1,1,6,"__NA__",1,"__NA__",2,2,2,1,2,2,2,2,1,3,2,3,2,4,4,4,5,2,2,2,1,16,0.209062996499623,0.572797764626743,0
"20",20,2010-05-07,2010-05-07 12:52:36,1,1,1,"__NA__",2,1,"__NA__",NA,"__NA__",1,2,1,1,1,1,1,1,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",2,1,2,2,2,2,2,2,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,1,1,1,2,2,2,2,2,2,2,"__NA__",2,4,2,NA,NA,NA,NA,NA,NA,"Economy (General)","economy",3,"__NA__","economy",3,"__NA__",2,2,2,2,2,3,3,3,2,2,2,9,2,7,6,8,4,7,6,8,3,7,11,1,4,1,1,1,1,1,"__NA__",3,"__NA__",3,1,1,1,2,1,1,2,1,2,2,2,2,4,2,3,3,2,2,2,1,2,0.342454300551102,0.315451781506635,0
"21",21,2010-05-07,2010-05-07 12:52:40,1,1,2,"__NA__",1,1,"__NA__",NA,"__NA__",2,1,NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Political System","hung parliament",4,"__NA__","Welsh Assembly should be abolished",4,"__NA__",3,2,3,2,5,1,3,1,5,5,5,1,11,6,1,1,11,8,3,6,4,2,1,11,6,1,2,1,1,2,"__NA__",3,"__NA__",1,2,3,1,2,2,2,2,1,2,4,2,4,5,5,5,5,2,3,1,1,10,1.93123571899686,2.23609791593933,0
"22",22,2010-05-07,2010-05-07 12:52:51,1,1,1,"__NA__",4,5,"wanted to try and avoid a hung parliament",NA,"__NA__",11,1,NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",NA,NA,NA,NA,NA,NA,NA,NA,"__NA__",1,1,1,1,2,2,2,1,2,2,2,"__NA__",3,3,3,NA,NA,NA,NA,4,NA,"Economy (General)","economy",12,"__NA__","economy",12,"__NA__",3,5,6,5,6,5,6,5,2,6,6,8,7,7,3,4,6,5,12,12,12,12,11,8,6,1,1,1,1,1,"__NA__",1,"__NA__",1,2,2,1,2,2,2,2,1,2,4,2,4,6,4,4,5,2,2,1,1,16,0.41107171564258,0.402966524572104,0
